"ID","NOME","IDADE","NACIONALIDADE","PONTUACAO_GERAL","POTENCIAL","TIME","VALOR","REMUNERACAO","PERNA_DE_PREFERÊNCIA","REPUTACAO_INTERNACIONAL","POSICAO","CAMISA","CONTRATACAO","EMPRESTADO_DE_","VALIDADE_DO_CONTRATO","ALTURA","PESO","CONTROLE_DE_BOLA","ARRANCADA","AGILIDADE","EQUILÍBRIO","ENERGIA","FORCA"
158023,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,€565K,Esquerda,5.0,Ponta direita,10.0,"Jul 1, 2004",,"2021","5'7","159lbs",96.0,91.0,91.0,95.0,72.0,59.0
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,€405K,Direita,5.0,Atacante,7.0,"Jul 10, 2018",,"2022","6'2","183lbs",94.0,89.0,87.0,70.0,88.0,79.0
190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,€118.5M,€290K,Direita,5.0,Meio-campista esquerdo avançado,10.0,"Aug 3, 2017",,"2022","5'9","150lbs",95.0,94.0,96.0,84.0,81.0,49.0
193080,De Gea,27,Spain,91,93,Manchester United,€72M,€260K,Direita,4.0,Goleiro,1.0,"Jul 1, 2011",,"2020","6'4","168lbs",42.0,57.0,60.0,43.0,43.0,64.0
192985,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,€355K,Direita,4.0,Meio-campista direito,7.0,"Aug 30, 2015",,"2023","5'11","154lbs",91.0,78.0,79.0,77.0,90.0,75.0
183277,E. Hazard,27,Belgium,91,91,Chelsea,€93M,€340K,Direita,4.0,Ponta esquerda,10.0,"Jul 1, 2012",,"2020","5'8","163lbs",94.0,94.0,95.0,94.0,83.0,66.0
177003,L. Modrić,32,Croatia,91,91,Real Madrid,€67M,€420K,Direita,4.0,Meio-campista direito,10.0,"Aug 1, 2012",,"2020","5'8","146lbs",93.0,80.0,93.0,94.0,89.0,58.0
176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,€455K,Direita,5.0,Atacande pela direita,9.0,"Jul 11, 2014",,"2021","6'0","190lbs",90.0,86.0,82.0,83.0,90.0,83.0
155862,Sergio Ramos,32,Spain,91,91,Real Madrid,€51M,€380K,Direita,4.0,Lateral direito recuado,15.0,"Aug 1, 2005",,"2020","6'0","181lbs",84.0,76.0,78.0,66.0,84.0,83.0
200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,€94K,Direita,3.0,Goleiro,1.0,"Jul 16, 2014",,"2021","6'2","192lbs",16.0,43.0,67.0,49.0,41.0,78.0
188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,Direita,4.0,Atacante,9.0,"Jul 1, 2014",,"2021","6'0","176lbs",89.0,77.0,78.0,78.0,78.0,84.0
182521,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,€355K,Direita,4.0,Meio campista esquerdo,8.0,"Jul 17, 2014",,"2022","6'0","168lbs",90.0,64.0,70.0,71.0,75.0,73.0
182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,Direita,3.0,Zagueiro,10.0,"Aug 4, 2010",,"2019","6'2","172lbs",76.0,68.0,58.0,54.0,66.0,88.0
168542,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,Esquerda,4.0,Meio campista esquerdo,21.0,"Jul 14, 2010",,"2020","5'8","148lbs",94.0,70.0,92.0,90.0,78.0,52.0
215914,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,Direita,3.0,Lateral esquerdo recuado,13.0,"Jul 16, 2016",,"2023","5'6","159lbs",80.0,82.0,82.0,92.0,96.0,76.0
